Source,Order,Family,Genus,Species,Namelist,Include_hybpiper,filename
PAFTOL,Magnoliales,Annonaceae,Anonidium,floribundum,P_012801,1,P_012801_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Artabotrys,rufus,P_012803,1,P_012803_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Asimina,triloba,P_012805,1,P_012805_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Asteranthe,asterias,P_012807,1,P_012807_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Boutiquea,platypetala,P_012809,1,P_012809_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Brieya,facsiculata,P_012811,1,P_012811_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Cleistopholis,staudii,P_012813,1,P_012813_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Cremastosperma,oblongum,P_012815,1,P_012815_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Cymbopetalum,costaricense,P_012817,1,P_012817_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Dasymaschalon,sp.,P_012819,1,P_012819_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Desmopsis,heteropetala,P_012821,1,P_012821_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Desmos,sp.,P_012823,1,P_012823_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Diclinanona,calycina,P_012825,1,P_012825_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Drepananthus,ramuliflorus,P_012827,1,P_012827_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Duguetia,staudtii,P_012829,1,P_012829_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Ephedranthus,parviflorus,P_012831,1,P_012831_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Fissistigma,sp.,P_012833,1,P_012833_R1.fastq.gz
PAFTOL,Magnoliales,Annonaceae,Friesodielsia,excisa,P_012835,1,P_012835_R1.fastq.gz
